ADBE,거래소,기호,멕시코,부문,산업,소프트웨어와 프로그래밍,어도비 시스템즈,종목,테크놀로지
,심천,2101,,기초 소재,다종 조립 제품,,,Gd Hongtu Tech A,
,심천,2104,,기초 소재,조립식 플라스틱과 고무,,,Hengbao A,
,상하이,603165,,기초 소재,컨테이너와 포장,,,Zhejiang Rongsheng,
,심천,300337,,기초 소재,금속 광업,,,Yinbang Clad Material,
,상하이,600691,,기초 소재,화학제조,,,Yangmei Chemical,
,심천,2838,,기초 소재,화학 제품 – 플라스틱과 고무,,,Shandong Dawn,
,상하이,600229,,기초 소재,화학제조,,,Qingdao Citymedia,
,상하이,600382,,기초 소재,다종 조립 제품,,,Guangdong Mingzhu,
,심천,2053,,기초 소재,화학제조,,,Yunnan Salt Chem A,
,상하이,603010,,기초 소재,화학제조,,,Zhejiang Wansheng,
,상하이,600734,,기초 소재,다종 조립 제품,,,Start Group,
,심천,300706,,기초 소재,금속 광업,,,Fujian Acetron New Materials,
,심천,2538,,기초 소재,화학제조,,,Sierte Fertiliz A,
,심천,2226,,기초 소재,화학제조,,,Jiangnan Chemica A,
,심천,300700,,기초 소재,다종 조립 제품,,,Changsha DIALINE New Material,
,심천,300325,,기초 소재,다종 조립 제품,,,Jiangsu Dewei Materials,
,심천,821,,기초 소재,컨테이너와 포장,,,Jingshan A,
,상하이,600433,,기초 소재,종이와 종이 제품,,,Guangdong Guanhao,
,심천,2167,,기초 소재,금속 광업,,,Orient Zirconic A,
,심천,2539,,기초 소재,화학제조,,,Shindoo Chemical A,
,상하이,600255,,기초 소재,금속 광업,,,Xinke Material,
,상하이,600973,,기초 소재,다종 조립 제품,,,Baosheng,
,심천,300358,,기초 소재,컨테이너와 포장,,,Truking Tech,
,심천,2263,,기초 소재,화학 제품 – 플라스틱과 고무,,,Great Southeast A,
,상하이,600389,,기초 소재,화학제조,,,Nantong Jiangshan,
,심천,2342,,기초 소재,다종 조립 제품,,,Juli Sling A,
,심천,606,,기초 소재,화학제조,,,Qh Gelatin A,
,심천,2738,,기초 소재,비금속 광업,,,Sinomine Resource Exploration,
,심천,2442,,기초 소재,화학제조,,,Longxing Chemical Stock Co Ltd,
,상하이,603969,,기초 소재,철과 철강,,,Silvery Dragon Prestressed Materials,
,상하이,603979,,기초 소재,금속 광업,,,JCHX Mining Management,
,심천,300108,,기초 소재,화학제조,,,Tong Hua Shuang Long Chemical,
,상하이,603639,,기초 소재,화학제조,,,Hailir Pesticides,
,상하이,600892,,기초 소재,다종 조립 제품,,,Baocheng Inves,
,심천,300021,,기초 소재,조립식 플라스틱과 고무,,,Gansu Dayu Water saving Group,
,심천,2882,,기초 소재,다종 조립 제품,,,Jinlongyu A,
,심천,2632,,기초 소재,조립식 플라스틱과 고무,,,Zhejiang Daoming Optics Chem A,
,심천,300340,,기초 소재,화학제조,,,Jiangmen Kanhoo Industry,
,상하이,900927,,기초 소재,다종 조립 제품,,,Shanghai Material Trading B,
,상하이,600822,,기초 소재,다종 조립 제품,,,Shanghai Material Trading A,
,심천,300447,,기초 소재,다종 조립 제품,,,Nanjing Quanxin Cable Tech,
,심천,777,,기초 소재,다종 조립 제품,,,Sufa Tech A,
,심천,407,,기초 소재,화학제조,,,Shengli A,
,상하이,600117,,기초 소재,철과 철강,,,Xining Special Steel,
,심천,2751,,기초 소재,다종 조립 제품,,,Shenzhen Esun Display,
,상하이,600844,,기초 소재,화학제조,,,Danhua Chemical Tech A,
,상하이,900921,,기초 소재,화학제조,,,Danhua Chemical Tech B,
