Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Kee Ever Bright Decorative,2464,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Tibet Mineral A,762,심천,s01,기초 소재,금속 광업,O,null,null
Xian Sunresin New Materials Co Ltd,300487,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Tungsten A,657,심천,s01,기초 소재,화학제조,O,null,null
Sd Haihua A,822,심천,s01,기초 소재,화학제조,O,null,null
Xinjiang Tianye,600075,상하이,s01,기초 소재,화학제조,O,null,null
Teda A,652,심천,s01,기초 소재,화학제조,O,null,null
Kingsignal Tech,300252,심천,s01,기초 소재,다종 조립 제품,O,null,null
Shanghai Sinyang Semiconductor,300236,심천,s01,기초 소재,화학제조,O,null,null
Rastar Group,300043,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Zhuzhou Times Tech,600458,상하이,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Huaxicun A,936,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
ShengXing Group,2752,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Jiangxi Black Cat Carbon Black,2068,심천,s01,기초 소재,화학제조,O,null,null
Sc Nitrocell A,2246,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Gem-Year Industrial,601002,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Yuancheng Cable A,2692,심천,s01,기초 소재,다종 조립 제품,O,null,null
Yingliu Electr,603308,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Ningbo Boway Alloy Material,601137,상하이,s01,기초 소재,금속 광업,O,null,null
Huifeng Agrochem A,2496,심천,s01,기초 소재,화학제조,O,null,null
Jingxing Paper A,2067,심천,s01,기초 소재,종이와 종이 제품,O,null,null
Shuangliang Eco-Energy,600481,상하이,s01,기초 소재,화학제조,O,null,null
Fujian Qingshan Paper,600103,상하이,s01,기초 소재,컨테이너와 포장,O,null,null
Shanghai 3F,600636,상하이,s01,기초 소재,화학제조,O,null,null
Huludao Zinc A,751,심천,s01,기초 소재,금속 광업,O,null,null
Wanwei Hi-tech Industry,600063,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Guangdong Guanghua Sci-Tech,2741,심천,s01,기초 소재,화학제조,O,null,null
Fujian Superpipe,300198,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Qingdao Gon Technology Co Ltd,2768,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hailide A,2206,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Dazhou Xingye,600603,상하이,s01,기초 소재,금속 광업,O,null,null
Ingenious Carbon A,511,심천,s01,기초 소재,화학제조,O,null,null
Der International Home Furnish A,2631,심천,s01,기초 소재,임업과 목재 제품,O,null,null
Gd Hongtu Tech A,2101,심천,s01,기초 소재,다종 조립 제품,O,null,null
Hengbao A,2104,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhejiang Rongsheng,603165,상하이,s01,기초 소재,컨테이너와 포장,O,null,null
Yinbang Clad Material,300337,심천,s01,기초 소재,금속 광업,O,null,null
Yangmei Chemical,600691,상하이,s01,기초 소재,화학제조,O,null,null
Shandong Dawn,2838,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Qingdao Citymedia,600229,상하이,s01,기초 소재,화학제조,O,null,null
Guangdong Mingzhu,600382,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Yunnan Salt Chem A,2053,심천,s01,기초 소재,화학제조,O,null,null
Zhejiang Wansheng,603010,상하이,s01,기초 소재,화학제조,O,null,null
Start Group,600734,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Fujian Acetron New Materials,300706,심천,s01,기초 소재,금속 광업,O,null,null
Sierte Fertiliz A,2538,심천,s01,기초 소재,화학제조,O,null,null
Jiangnan Chemica A,2226,심천,s01,기초 소재,화학제조,O,null,null
Changsha DIALINE New Material,300700,심천,s01,기초 소재,다종 조립 제품,O,null,null
Jiangsu Dewei Materials,300325,심천,s01,기초 소재,다종 조립 제품,O,null,null
Jingshan A,821,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Guangdong Guanhao,600433,상하이,s01,기초 소재,종이와 종이 제품,O,null,null
Orient Zirconic A,2167,심천,s01,기초 소재,금속 광업,O,null,null
Shindoo Chemical A,2539,심천,s01,기초 소재,화학제조,O,null,null
Xinke Material,600255,상하이,s01,기초 소재,금속 광업,O,null,null
Baosheng,600973,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Truking Tech,300358,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Great Southeast A,2263,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Nantong Jiangshan,600389,상하이,s01,기초 소재,화학제조,O,null,null
Juli Sling A,2342,심천,s01,기초 소재,다종 조립 제품,O,null,null
Qh Gelatin A,606,심천,s01,기초 소재,화학제조,O,null,null
Sinomine Resource Exploration,2738,심천,s01,기초 소재,비금속 광업,O,null,null
Longxing Chemical Stock Co Ltd,2442,심천,s01,기초 소재,화학제조,O,null,null
Silvery Dragon Prestressed Materials,603969,상하이,s01,기초 소재,철과 철강,O,null,null
JCHX Mining Management,603979,상하이,s01,기초 소재,금속 광업,O,null,null
Tong Hua Shuang Long Chemical,300108,심천,s01,기초 소재,화학제조,O,null,null
Hailir Pesticides,603639,상하이,s01,기초 소재,화학제조,O,null,null
Baocheng Inves,600892,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Gansu Dayu Water saving Group,300021,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Jinlongyu A,2882,심천,s01,기초 소재,다종 조립 제품,O,null,null
Zhejiang Daoming Optics Chem A,2632,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Jiangmen Kanhoo Industry,300340,심천,s01,기초 소재,화학제조,O,null,null
Shanghai Material Trading B,900927,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Shanghai Material Trading A,600822,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Nanjing Quanxin Cable Tech,300447,심천,s01,기초 소재,다종 조립 제품,O,null,null
Sufa Tech A,777,심천,s01,기초 소재,다종 조립 제품,O,null,null
Shengli A,407,심천,s01,기초 소재,화학제조,O,null,null
Xining Special Steel,600117,상하이,s01,기초 소재,철과 철강,O,null,null
Shenzhen Esun Display,2751,심천,s01,기초 소재,다종 조립 제품,O,null,null
Danhua Chemical Tech A,600844,상하이,s01,기초 소재,화학제조,O,null,null
Danhua Chemical Tech B,900921,상하이,s01,기초 소재,화학제조,O,null,null
Shandong Yanggu Huatai Chemical,300121,심천,s01,기초 소재,화학제조,O,null,null
Aba Chemicals,300261,심천,s01,기초 소재,화학제조,O,null,null
Shanghai Kinlita Chemical Co,300225,심천,s01,기초 소재,화학제조,O,null,null
Sanlux Rubber A,2224,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Tangshan Sunfar Silicon,603938,상하이,s01,기초 소재,화학제조,O,null,null
Shanghai Kangda New Materials A,2669,심천,s01,기초 소재,화학제조,O,null,null
China Kings Resources,603505,상하이,s01,기초 소재,금속 광업,O,null,null
Sichuan Guoguang Agrochemical,2749,심천,s01,기초 소재,화학제조,O,null,null
Sichuan Goldstone Equipment,300434,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Fspg Hi-Tech A,973,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Lp Zinc & Elec A,2114,심천,s01,기초 소재,금속 광업,O,null,null
Xinxiang Chem A,949,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hangzhou Cable,603618,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Hexing Packaging A,2228,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Xiamen Jihong Package Tech,2803,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Hebi Janxi Chemical,300107,심천,s01,기초 소재,화학제조,O,null,null
Fujian Kuncai Material Tech,603826,상하이,s01,기초 소재,화학제조,O,null,null
Zhuhai Zhongfu A,659,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Changqing Chem A,2391,심천,s01,기초 소재,화학제조,O,null,null
Minfa Aluminium A,2578,심천,s01,기초 소재,금속 광업,O,null,null
Sino-Platinum Metals,600459,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Yunhai Metals A,2182,심천,s01,기초 소재,금속 광업,O,null,null
Huaze Cobalt A,693,심천,s01,기초 소재,다종 조립 제품,O,null,null
Xinjiang Joinworld,600888,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Batian Ecotypic A,2170,심천,s01,기초 소재,화학제조,O,null,null
Xinghua Chem A,2109,심천,s01,기초 소재,화학제조,O,null,null
Zhongchao Cable A,2471,심천,s01,기초 소재,다종 조립 제품,O,null,null
Hangzhou Zhongya Machinery,300512,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Jiangsu Jiangnan Fiber,600527,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Daye Steel A,708,심천,s01,기초 소재,철과 철강,O,null,null
Shenyang Chem A,698,심천,s01,기초 소재,화학제조,O,null,null
Huilong Agri Pro A,2556,심천,s01,기초 소재,화학제조,O,null,null
Hubei Huitian New Materials,300041,심천,s01,기초 소재,화학제조,O,null,null
Yibin Tianyuan Group Co Ltd,2386,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Luoyang Bearing A,2046,심천,s01,기초 소재,다종 조립 제품,O,null,null
Yonggao A,2641,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Shenzhen Qixin A,2781,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Zhejiang XCC,603667,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Wuxi Smart Auto-control,2877,심천,s01,기초 소재,다종 조립 제품,O,null,null
Jiangsu Lidao New Material,603937,상하이,s01,기초 소재,금속 광업,O,null,null
Sc Meifeng A,731,심천,s01,기초 소재,화학제조,O,null,null
Fj Nanping Sun A,2300,심천,s01,기초 소재,다종 조립 제품,O,null,null
Shanghai Hongda Mining,600532,상하이,s01,기초 소재,금속 광업,O,null,null
Hebei Sitong New Metal,300428,심천,s01,기초 소재,금속 광업,O,null,null
Sichuan Sunny Seal,300470,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Liaoning Oxiranchem Inc,300082,심천,s01,기초 소재,화학제조,O,null,null
Anhui Shenjian New Materials Co Ltd,2361,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Shanghai Anoky Group,300067,심천,s01,기초 소재,화학제조,O,null,null
Jiangsu Nata Opto Electr Material,300346,심천,s01,기초 소재,화학제조,O,null,null
Huachang Chem A,2274,심천,s01,기초 소재,화학제조,O,null,null
Xiamen Anne Corp Ltd,2235,심천,s01,기초 소재,종이와 종이 제품,O,null,null
