Name,Symbol,Exchange,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Goody Science Tech,2694,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Boai NKY Pharmaceuticals Ltd,300109,심천,기초 소재,화학제조,O,null,null
Ye Chiu Metal Recycling,601388,상하이,기초 소재,금속 광업,O,null,null
Skshu Paint,603737,상하이,기초 소재,화학제조,O,null,null
Guangdong Ronsen A,2141,심천,기초 소재,다종 조립 제품,O,null,null
Shandong Huatai Paper,600308,상하이,기초 소재,종이와 종이 제품,O,null,null
Guangdong Hotata A,603848,상하이,기초 소재,조립식 플라스틱과 고무,O,null,null
Shenzhen Sunxing Light Alloys,603978,상하이,기초 소재,금속 광업,O,null,null
Kee Ever Bright Decorative,2464,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Tibet Mineral A,762,심천,기초 소재,금속 광업,O,null,null
Xian Sunresin New Materials Co Ltd,300487,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Tungsten A,657,심천,기초 소재,화학제조,O,null,null
Sd Haihua A,822,심천,기초 소재,화학제조,O,null,null
Xinjiang Tianye,600075,상하이,기초 소재,화학제조,O,null,null
Teda A,652,심천,기초 소재,화학제조,O,null,null
Kingsignal Tech,300252,심천,기초 소재,다종 조립 제품,O,null,null
Shanghai Sinyang Semiconductor,300236,심천,기초 소재,화학제조,O,null,null
Rastar Group,300043,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Zhuzhou Times Tech,600458,상하이,기초 소재,조립식 플라스틱과 고무,O,null,null
Huaxicun A,936,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
ShengXing Group,2752,심천,기초 소재,컨테이너와 포장,O,null,null
Jiangxi Black Cat Carbon Black,2068,심천,기초 소재,화학제조,O,null,null
Sc Nitrocell A,2246,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Gem-Year Industrial,601002,상하이,기초 소재,다종 조립 제품,O,null,null
Yuancheng Cable A,2692,심천,기초 소재,다종 조립 제품,O,null,null
Yingliu Electr,603308,상하이,기초 소재,다종 조립 제품,O,null,null
Ningbo Boway Alloy Material,601137,상하이,기초 소재,금속 광업,O,null,null
Huifeng Agrochem A,2496,심천,기초 소재,화학제조,O,null,null
Jingxing Paper A,2067,심천,기초 소재,종이와 종이 제품,O,null,null
Shuangliang Eco-Energy,600481,상하이,기초 소재,화학제조,O,null,null
Fujian Qingshan Paper,600103,상하이,기초 소재,컨테이너와 포장,O,null,null
Shanghai 3F,600636,상하이,기초 소재,화학제조,O,null,null
Huludao Zinc A,751,심천,기초 소재,금속 광업,O,null,null
Wanwei Hi-tech Industry,600063,상하이,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Guangdong Guanghua Sci-Tech,2741,심천,기초 소재,화학제조,O,null,null
Fujian Superpipe,300198,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Qingdao Gon Technology Co Ltd,2768,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hailide A,2206,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Dazhou Xingye,600603,상하이,기초 소재,금속 광업,O,null,null
Ingenious Carbon A,511,심천,기초 소재,화학제조,O,null,null
Der International Home Furnish A,2631,심천,기초 소재,임업과 목재 제품,O,null,null
Gd Hongtu Tech A,2101,심천,기초 소재,다종 조립 제품,O,null,null
Hengbao A,2104,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhejiang Rongsheng,603165,상하이,기초 소재,컨테이너와 포장,O,null,null
Yinbang Clad Material,300337,심천,기초 소재,금속 광업,O,null,null
